,comb_metro,funding,jobs_created,patents,ipo,population,gdp,gdp_per_capita,latitude,longitude,female,female_funding,female_jobs_created,female_patents,male,male_funding,male_jobs_created,male_patents,female_funding_mean,female_jobs_created_mean,female_patents_mean,female_age_years_mean,female_funding_median,female_jobs_created_median,female_patents_median,female_age_years_median,male_funding_mean,male_jobs_created_mean,male_patents_mean,male_age_years_mean,male_funding_median,male_jobs_created_median,male_patents_median,male_age_years_median
0,"Albany, NY",149966736,16610.0,400,3,886188,54302.0,61275.94,42.7879202,-73.9423479,15,5604014.0,460.0,24.0,105,144362722,16150.0,376,373600.93333333335,32.857142857142854,1.6,10.848914285714287,0.0,50.0,0.0,8.889050000000001,1374883.0666666667,163.13131313131314,3.580952380952381,10.428919148936167,0.0,10.0,0.0,7.8027
1,"Albuquerque, NM",846996756,6890.0,329,0,910726,51307.0,56336.37,35.1166033,-106.4565347,18,312178160.0,1640.0,90.0,103,534818596,5250.0,239,17343231.111111112,96.47058823529412,5.0,10.453829411764708,0.0,10.0,0.0,7.4658,5192413.553398058,56.45161290322581,2.320388349514563,10.662298901098898,0.0,50.0,0.0,9.0521
2,"Anchorage, AK",6928554,620.0,4,0,400888,27963.0,69752.65,62.212784400000004,-149.67822180000002,9,1590000.0,90.0,0.0,16,5338554,530.0,4,176666.66666666666,10.0,0.0,4.098055555555557,0.0,10.0,0.0,3.4658,333659.625,40.76923076923077,0.25,8.342085714285714,50000.0,10.0,0.0,3.3808
3,"Atlanta, GA",20284303563,12314260.0,2636,31,6437782,411853.0,63974.36,33.693728,-84.3999113,177,1288569449.0,38390.0,153.0,1434,18995734114,12275870.0,2483,7280053.384180791,224.50292397660817,0.864406779661017,8.053205294117634,0.0,10.0,0.0,6.9123,13246676.509065552,8876.261749819234,1.7315202231520224,10.794252830188709,0.0,50.0,0.0,7.7205
4,"Augusta, GA",34116970,340.0,0,0,600151,24395.0,40648.1,33.4603713,-81.9828327,2,39000.0,20.0,0.0,8,34077970,320.0,0,19500.0,10.0,0.0,3.7177999999999995,19500.0,10.0,0.0,3.7177999999999995,4259746.25,45.714285714285715,0.0,7.982480000000001,19500.0,50.0,0.0,10.5973
5,"Austin, TX",17798645665,9254550.0,5329,35,2115827,148750.0,70303.48,30.239512800000004,-97.6912697,237,863371748.0,2019980.0,1123.0,1755,16935273917,7234570.0,4206,3642918.7679324895,8977.68888888889,4.738396624472574,7.504299999999979,0.0,10.0,0.0,6.442449999999999,9649728.727635328,4268.182890855457,2.3965811965811965,8.624764030915593,25000.0,50.0,0.0,7.1342
6,"Baltimore, MD",5666112517,7100490.0,308,4,5616350,384356.0,68435.19,39.304361,-76.54950090000001,59,404092775.0,1002450.0,113.0,462,5262019742,6098040.0,195,6849030.084745763,17586.842105263157,1.9152542372881356,8.711407142857146,150000.0,10.0,0.0,6.1945,11389653.121212121,13672.735426008969,0.42207792207792205,11.204203908045983,150000.0,50.0,0.0,7.4658
7,"Baton Rouge, LA",15022499,1011040.0,18,0,834159,54988.0,65920.29,30.570889500000003,-91.13453299999999,3,2150000.0,70.0,0.0,34,12872499,1010970.0,18,716666.6666666666,23.333333333333332,0.0,11.594499999999998,750000.0,10.0,0.0,9.263,378602.9117647059,30635.454545454544,0.5294117647058824,13.299963636363639,0.0,10.0,0.0,9.0521
8,"Birmingham, AL",284499997,2021220.0,186,0,1149807,64553.0,56142.47,33.4623718,-86.8143378,21,18290003.0,1000880.0,0.0,80,266209994,1020340.0,186,870952.5238095238,47660.95238095238,0.0,12.123171428571428,0.0,10.0,0.0,7.4658,3327624.925,13977.260273972603,2.325,10.409886486486476,0.0,10.0,0.0,6.4658
9,"Boise, ID",369087664,6150.0,69,0,709845,33604.0,47339.91,43.0066485,-116.14190890000002,7,1707889.0,430.0,1.0,71,367379775,5720.0,68,243984.14285714287,61.42857142857143,0.14285714285714285,6.129171428571428,0.0,50.0,0.0,7.4658,5174363.0281690145,86.66666666666667,0.9577464788732394,8.276332857142856,0.0,50.0,0.0,8.23565
10,"Boston, MA",139735157922,37024680.0,21562,266,7809825,593806.0,76033.2,42.517606,-71.02199250000001,635,10670775886.0,82610.0,1443.0,4579,129064382036,36942070.0,20119,16804371.474015746,135.87171052631578,2.2724409448818896,9.55718111658456,150000.0,50.0,0.0,7.4658,28186150.259008516,8601.180442374854,4.39375409478052,11.139758799547094,1000000.0,50.0,0.0,7.8
11,"Buffalo, NY",2001016942,1037590.0,41,7,1136856,60014.0,52789.45,43.0443711,-78.77733509999999,16,91073617.0,920.0,1.0,110,1909943325,1036670.0,40,5692101.0625,61.333333333333336,0.0625,7.0436499999999995,737808.5,50.0,0.0,4.9643999999999995,17363121.136363637,10471.414141414141,0.36363636363636365,14.559787499999977,260000.0,50.0,0.0,7.21785
12,"Charlotte, NC",1738676328,1055370.0,114,8,2525305,174029.0,68914.05,35.187295,-80.8674907,40,91594496.0,1002130.0,0.0,303,1647081832,53240.0,114,2289862.4,26371.842105263157,0.0,9.19541891891892,0.0,10.0,0.0,5.5973,5435913.636963696,183.58620689655172,0.37623762376237624,10.281426950354607,0.0,50.0,0.0,7.220549999999999
13,"Chattanooga, TN",374791821,4510.0,38,0,1626721,79193.0,48682.6,35.0493612,-85.3611582,6,1865000.0,60.0,2.0,84,372926821,4450.0,36,310833.3333333333,10.0,0.3333333333333333,4.943366666666667,7500.0,10.0,0.0,4.90135,4439605.011904762,57.05128205128205,0.42857142857142855,9.380626249999992,700000.0,10.0,0.0,6.41915
14,"Chicago, IL",44501403564,14483560.0,3213,53,9752674,688224.0,70567.72,41.8235214,-87.82829670000001,399,1787086572.0,1028780.0,295.0,2478,42714316992,13454780.0,2918,4478913.714285715,2637.897435897436,0.7393483709273183,9.202684987277337,0.0,10.0,0.0,7.0493,17237416.05811138,5543.790688092295,1.1775625504439065,9.921943118096857,0.0,50.0,0.0,7.4658
